epoch,backbone_learning_rate,classifier_learning_rate,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1
1,0.0003,0.0003,0.7556649890346889,0.6737698566447113,0.5562854502528621,0.6943656268573942,0.765079365079365,0.6878230995584614,0.6028331250153175,0.631232172611483
2,0.0003,0.0003,0.49701158983538385,0.7884540875629601,0.711567829693564,0.6615714001277136,0.7873015873015873,0.7565963394144847,0.6482889330032923,0.6851598173515981
3,0.0003,0.0003,0.34868101638816484,0.8640061991476172,0.8125962601114051,0.7872702148225572,0.707936507936508,0.5972824145695348,0.5339100883105,0.5405999963347811
4,0.0003,0.0003,0.27103863824526964,0.891902363425029,0.8493493185777231,0.9205673553404354,0.7428571428571429,0.6200903673050737,0.6159318350774861,0.6099207535135417
5,0.00015,0.00015,0.23959985048629573,0.9139868268113135,0.8831352893643519,1.171831959012955,0.6984126984126984,0.5734171425678961,0.5705125167811734,0.5697444989998182
6,0.00015,0.00015,0.10775733601153244,0.9643549012010848,0.9532126115247856,0.77734101374471,0.780952380952381,0.711378044711378,0.6671655406601366,0.6854417359230194
7,0.00015,0.00015,0.05733547508803184,0.9833397907787679,0.9764538236615347,0.8484032865081514,0.7873015873015873,0.7229287175475516,0.6713504181337427,0.6926181014292249
8,0.00015,0.00015,0.025972435830023136,0.9957380860131732,0.9947717076692526,0.9678398062312413,0.7746031746031746,0.7041116139679454,0.6696468396931597,0.684194201374522
9,0.00015,0.00015,0.030495058411731595,0.9926385122045719,0.9893774517369455,0.8833931304159619,0.780952380952381,0.7161845004310758,0.6844616545079747,0.6968041809620168
10,0.00015,0.00015,0.02757742085394149,0.9934134056567222,0.9899956187594166,0.8530788900360229,0.780952380952381,0.7230864197530864,0.6647332576308387,0.6883184086053906
11,0.00015,0.00015,0.039178512270242286,0.9872142580395196,0.9833413005678325,1.0295874781078762,0.765079365079365,0.6889499389499388,0.668954624796107,0.6781187462144591
12,7.5e-05,7.5e-05,0.039443931751262075,0.9879891514916699,0.9846599552996547,1.0096210409251472,0.7714285714285715,0.6827485051617171,0.6637709100910336,0.6649039690492882
13,7.5e-05,7.5e-05,0.014635548298174992,0.9972878729174739,0.9962953606972375,0.9371435908098069,0.780952380952381,0.7113803854875284,0.6686970184654178,0.684679713226915
14,7.5e-05,7.5e-05,0.009342423588591739,0.9984502130956994,0.9980882902038383,0.9701333364678754,0.7841269841269841,0.7194877666785118,0.6845722128274883,0.6999479688718898
15,7.5e-05,7.5e-05,0.0049285070240589245,0.9996125532739248,0.9995957482513821,0.94230369584901,0.7904761904761904,0.7260303355293397,0.696954744613005,0.7100904570461277
16,7.5e-05,7.5e-05,0.004117295617874205,0.9996125532739248,0.9995957482513821,1.0354646452362575,0.7746031746031746,0.7103944339820046,0.6787452992290871,0.6927802996032675
17,7.5e-05,7.5e-05,0.004761296563757622,0.9996125532739248,0.9995957482513821,1.0399053556933289,0.7841269841269841,0.7117512332628612,0.6894367788860841,0.6987963901465798
18,3.75e-05,3.75e-05,0.0032101597781994924,1.0,1.0,1.0206186001144704,0.7904761904761904,0.734490354846392,0.6869554798530609,0.7070543256012237
19,3.75e-05,3.75e-05,0.002289863752659644,0.9996125532739248,0.9994980716263681,0.964585346196379,0.7904761904761904,0.7285328359787343,0.699387027642303,0.7124394260257173
20,3.75e-05,3.75e-05,0.0023987023654209465,1.0,1.0,1.042438612896062,0.7936507936507936,0.7361464028130694,0.6885975159778557,0.7083930211202939
